Domain Code,Domain,Area Code,Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","1","Armenia","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7005","May","","132.605519","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","1","Armenia","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7006","June","","121.944661","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","1","Armenia","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7006","June","","129.652468","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","1","Armenia","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7007","July","","119.490327","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","1","Armenia","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7007","July","","122.110818","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","1","Armenia","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7008","August","","118.208867","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","1","Armenia","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7008","August","","120.281123","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","1","Armenia","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7009","September","","117.560964","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","1","Armenia","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7009","September","","120.263958","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","1","Armenia","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7010","October","","117.867477","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","1","Armenia","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7010","October","","121.794162","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","1","Armenia","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7011","November","","119.961504","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","1","Armenia","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7011","November","","126.91325","X","International reliable sources","base year is rescaled to 2010"
